Date,Time,Latitude,N/S,Longitude,E/W,Alt,Knots,m/s,Time,Distance,Velocity Regime (0.25m/s) (EMA smoothed),Miles Per Hour,MPH Regime,Acceleration,
231214,215232,2806.6154,N,8242.9874,W,24.7,0.36,0.19,0.20,1.02,0.18,0.41,0.25,0.03,
231214,215232.2,2806.6156,N,8242.9872,W,24.6,0.38,0.20,0.20,1.06,0.19,0.43,0.25,0.03,
231214,215232.4,2806.6157,N,8242.9871,W,24.6,0.39,0.20,0.20,1.10,0.20,0.45,0.25,0.04,
231214,215232.6,2806.6158,N,8242.9871,W,24.7,0.4,0.21,0.20,1.14,0.20,0.46,0.25,0.04,
231214,215232.8,2806.6158,N,8242.9871,W,24.8,0.41,0.21,0.20,1.18,0.21,0.47,0.25,0.03,
231214,215233,2806.6158,N,8242.9871,W,24.9,0.41,0.21,0.20,1.22,0.21,0.47,0.25,0.03,
231214,215233.2,2806.6158,N,8242.9872,W,25,0.41,0.21,0.20,1.26,0.21,0.47,0.25,0.02,
231214,215233.4,2806.6158,N,8242.9873,W,25.2,0.41,0.21,0.20,1.31,0.21,0.47,0.25,0.01,
231214,215233.6,2806.6157,N,8242.9873,W,25.3,0.42,0.22,0.20,1.35,0.22,0.48,0.25,0.01,
231214,215233.8,2806.6157,N,8242.9874,W,25.4,0.42,0.22,0.20,1.39,0.22,0.48,0.25,0.01,
231214,215234,2806.6157,N,8242.9875,W,25.5,0.43,0.22,0.20,1.44,0.22,0.49,0.25,0.01,
231214,215234.2,2806.6158,N,8242.9874,W,25.6,0.44,0.23,0.20,1.48,0.23,0.50,0.50,0.01,
231214,215234.4,2806.6159,N,8242.9874,W,25.6,0.44,0.23,0.20,1.53,0.23,0.51,0.50,0.02,
231214,215234.6,2806.616,N,8242.9874,W,25.7,0.44,0.23,0.20,1.57,0.23,0.51,0.50,0.01,
231214,215234.8,2806.616,N,8242.9874,W,25.8,0.45,0.23,0.20,1.62,0.23,0.52,0.50,0.01,
231214,215235,2806.616,N,8242.9873,W,25.8,0.45,0.23,0.20,1.66,0.23,0.52,0.50,0.01,
231214,215235.2,2806.6161,N,8242.9873,W,25.9,0.44,0.23,0.20,1.71,0.23,0.51,0.50,0.00,
231214,215235.4,2806.6162,N,8242.9872,W,25.9,0.45,0.23,0.20,1.76,0.23,0.52,0.50,0.00,
231214,215235.6,2806.6164,N,8242.9871,W,25.9,0.47,0.24,0.20,1.80,0.24,0.54,0.50,0.01,
231214,215235.8,2806.6165,N,8242.9869,W,25.8,0.49,0.25,0.20,1.85,0.25,0.56,0.50,0.02,
231214,215236,2806.6166,N,8242.9868,W,25.7,0.5,0.26,0.20,1.90,0.26,0.57,0.50,0.02,
231214,215236.2,2806.6167,N,8242.9868,W,25.6,0.49,0.25,0.20,1.96,0.25,0.57,0.50,0.03,
231214,215236.4,2806.6168,N,8242.9867,W,25.6,0.48,0.25,0.20,2.01,0.25,0.56,0.50,0.02,
231214,215236.6,2806.6169,N,8242.9865,W,25.4,0.47,0.24,0.20,2.05,0.24,0.54,0.50,0.00,
231214,215236.8,2806.6169,N,8242.9865,W,25.4,0.45,0.23,0.20,2.10,0.23,0.52,0.50,-0.02,
231214,215237,2806.6169,N,8242.9865,W,25.5,0.43,0.22,0.20,2.15,0.22,0.50,0.50,-0.03,
231214,215237.2,2806.6169,N,8242.9866,W,25.6,0.42,0.22,0.20,2.19,0.22,0.49,0.25,-0.04,
231214,215237.4,2806.6169,N,8242.9866,W,25.6,0.43,0.22,0.20,2.23,0.22,0.49,0.25,-0.03,
231214,215237.6,2806.6169,N,8242.9866,W,25.6,0.43,0.22,0.20,2.28,0.22,0.49,0.25,-0.02,
231214,215237.8,2806.6169,N,8242.9866,W,25.6,0.44,0.23,0.20,2.32,0.23,0.50,0.50,-0.01,
231214,215238,2806.6169,N,8242.9866,W,25.6,0.45,0.23,0.20,2.37,0.23,0.52,0.50,0.01,
231214,215238.2,2806.6169,N,8242.9867,W,25.6,0.45,0.23,0.20,2.41,0.23,0.52,0.50,0.01,
231214,215238.4,2806.6169,N,8242.9867,W,25.6,0.46,0.24,0.20,2.46,0.24,0.53,0.50,0.02,
231214,215238.6,2806.6169,N,8242.9867,W,25.6,0.47,0.24,0.20,2.51,0.24,0.54,0.50,0.02,
231214,215238.8,2806.6169,N,8242.9867,W,25.4,0.48,0.25,0.20,2.56,0.25,0.55,0.50,0.02,
231214,215239,2806.6168,N,8242.9868,W,25.4,0.47,0.24,0.20,2.61,0.24,0.54,0.50,0.01,
231214,215239.2,2806.6168,N,8242.9869,W,25.3,0.46,0.24,0.20,2.65,0.24,0.53,0.50,0.01,
231214,215239.4,2806.6168,N,8242.9869,W,25.3,0.46,0.24,0.20,2.70,0.24,0.53,0.50,0.00,
231214,215239.6,2806.6168,N,8242.9868,W,25.3,0.47,0.24,0.20,2.75,0.24,0.54,0.50,0.00,
231214,215239.8,2806.6168,N,8242.9868,W,25.2,0.48,0.25,0.20,2.80,0.25,0.55,0.50,0.00,
231214,215240,2806.6167,N,8242.9869,W,25,0.49,0.25,0.20,2.85,0.25,0.56,0.50,0.01,
231214,215240.2,2806.6167,N,8242.9869,W,24.9,0.49,0.25,0.20,2.90,0.25,0.56,0.50,0.01,
231214,215240.4,2806.6167,N,8242.9869,W,24.9,0.5,0.26,0.20,2.95,0.26,0.57,0.50,0.02,
231214,215240.6,2806.6167,N,8242.9869,W,24.8,0.51,0.26,0.20,3.00,0.26,0.58,0.50,0.02,
231214,215240.8,2806.6167,N,8242.9869,W,24.7,0.5,0.26,0.20,3.05,0.26,0.58,0.50,0.01,
231214,215241,2806.6167,N,8242.9869,W,24.7,0.5,0.26,0.20,3.11,0.26,0.58,0.50,0.01,
231214,215241.2,2806.6167,N,8242.9869,W,24.7,0.49,0.25,0.20,3.16,0.25,0.57,0.50,0.00,
231214,215241.4,2806.6168,N,8242.9869,W,24.7,0.5,0.26,0.20,3.21,0.26,0.57,0.50,0.00,
231214,215241.6,2806.6168,N,8242.9869,W,24.6,0.51,0.26,0.20,3.26,0.26,0.58,0.50,0.00,
231214,215241.8,2806.6168,N,8242.9869,W,24.6,0.51,0.26,0.20,3.31,0.26,0.59,0.50,0.00,
231214,215242,2806.6168,N,8242.9869,W,24.6,0.51,0.26,0.20,3.37,0.26,0.59,0.50,0.00,
231214,215242.2,2806.6169,N,8242.9869,W,24.5,0.52,0.27,0.20,3.42,0.27,0.60,0.50,0.01,
231214,215242.4,2806.6169,N,8242.9869,W,24.5,0.53,0.27,0.20,3.47,0.27,0.61,0.50,0.02,
231214,215242.6,2806.6169,N,8242.9869,W,24.4,0.54,0.28,0.20,3.53,0.28,0.62,0.50,0.02,
231214,215242.8,2806.6169,N,8242.9869,W,24.4,0.54,0.28,0.20,3.58,0.28,0.62,0.50,0.02,
231214,215243,2806.6169,N,8242.9868,W,24.4,0.55,0.28,0.20,3.64,0.28,0.63,0.50,0.02,
231214,215243.2,2806.617,N,8242.9868,W,24.4,0.55,0.28,0.20,3.70,0.28,0.63,0.50,0.02,
231214,215243.4,2806.617,N,8242.9868,W,24.4,0.54,0.28,0.20,3.75,0.28,0.62,0.50,0.01,
231214,215243.6,2806.617,N,8242.9869,W,24.3,0.55,0.28,0.20,3.81,0.28,0.63,0.50,0.01,
231214,215243.8,2806.617,N,8242.9869,W,24.3,0.54,0.28,0.20,3.86,0.28,0.62,0.50,0.00,
231214,215244,2806.617,N,8242.9869,W,24.3,0.54,0.28,0.20,3.92,0.28,0.62,0.50,-0.00,
231214,215244.2,2806.617,N,8242.9869,W,24.3,0.54,0.28,0.20,3.98,0.28,0.62,0.50,-0.00,
231214,215244.4,2806.617,N,8242.9869,W,24.2,0.53,0.27,0.20,4.03,0.27,0.61,0.50,-0.01,
231214,215244.6,2806.6169,N,8242.987,W,24.1,0.51,0.26,0.20,4.08,0.26,0.59,0.50,-0.02,
231214,215244.8,2806.6169,N,8242.9871,W,24,0.5,0.26,0.20,4.14,0.26,0.58,0.50,-0.02,
231214,215245,2806.6169,N,8242.9872,W,23.9,0.49,0.25,0.20,4.19,0.25,0.57,0.50,-0.02,
231214,215245.2,2806.6169,N,8242.9872,W,23.8,0.48,0.25,0.20,4.24,0.25,0.56,0.50,-0.03,
231214,215245.4,2806.6168,N,8242.9872,W,23.7,0.48,0.25,0.20,4.28,0.25,0.55,0.50,-0.03,
231214,215245.6,2806.6168,N,8242.9873,W,23.7,0.49,0.25,0.20,4.34,0.25,0.56,0.50,-0.01,
231214,215245.8,2806.6168,N,8242.9872,W,23.6,0.5,0.26,0.20,4.39,0.26,0.57,0.50,-0.00,
231214,215246,2806.6168,N,8242.9873,W,23.6,0.5,0.26,0.20,4.44,0.26,0.57,0.50,0.00,
231214,215246.2,2806.6168,N,8242.9873,W,23.5,0.5,0.26,0.20,4.49,0.26,0.58,0.50,0.01,
231214,215246.4,2806.6168,N,8242.9873,W,23.5,0.49,0.25,0.20,4.54,0.25,0.57,0.50,0.01,
231214,215246.6,2806.6168,N,8242.9873,W,23.5,0.49,0.25,0.20,4.59,0.25,0.56,0.50,0.00,
231214,215246.8,2806.6167,N,8242.9873,W,23.5,0.5,0.26,0.20,4.64,0.26,0.57,0.50,0.00,
231214,215247,2806.6167,N,8242.9873,W,23.5,0.51,0.26,0.20,4.69,0.26,0.58,0.50,0.00,
231214,215247.2,2806.6167,N,8242.9873,W,23.5,0.5,0.26,0.20,4.75,0.26,0.58,0.50,0.00,
231214,215247.4,2806.6167,N,8242.9873,W,23.4,0.49,0.25,0.20,4.80,0.25,0.57,0.50,0.00,
231214,215247.6,2806.6167,N,8242.9874,W,23.4,0.47,0.24,0.20,4.84,0.24,0.55,0.50,-0.01,
231214,215247.8,2806.6167,N,8242.9874,W,23.4,0.44,0.23,0.20,4.89,0.23,0.51,0.50,-0.03,
231214,215248,2806.6167,N,8242.9875,W,23.4,0.43,0.22,0.20,4.94,0.22,0.50,0.25,-0.04,
231214,215248.2,2806.6167,N,8242.9875,W,23.4,0.43,0.22,0.20,4.98,0.22,0.50,0.25,-0.04,
231214,215248.4,2806.6167,N,8242.9874,W,23.5,0.43,0.22,0.20,5.02,0.22,0.50,0.25,-0.03,
231214,215248.6,2806.6167,N,8242.9874,W,23.5,0.43,0.22,0.20,5.07,0.22,0.49,0.25,-0.02,
231214,215248.8,2806.6167,N,8242.9874,W,23.5,0.44,0.23,0.20,5.11,0.23,0.50,0.50,-0.00,
231214,215249,2806.6169,N,8242.9874,W,23.6,0.45,0.23,0.20,5.16,0.23,0.52,0.50,0.01,
231214,215249.2,2806.6169,N,8242.9873,W,23.7,0.46,0.24,0.20,5.21,0.24,0.53,0.50,0.01,
231214,215249.4,2806.6169,N,8242.9873,W,23.6,0.46,0.24,0.20,5.25,0.24,0.53,0.50,0.02,
231214,215249.6,2806.6168,N,8242.9873,W,23.6,0.48,0.25,0.20,5.30,0.24,0.55,0.50,0.02,
231214,215249.8,2806.6168,N,8242.9872,W,23.5,0.5,0.26,0.20,5.35,0.25,0.57,0.50,0.03,
231214,215250,2806.6167,N,8242.9872,W,23.4,0.49,0.25,0.20,5.40,0.25,0.57,0.50,0.02,
231214,215250.2,2806.6166,N,8242.9872,W,23.3,0.47,0.24,0.20,5.45,0.24,0.55,0.50,0.01,
231214,215250.4,2806.6163,N,8242.9873,W,23,0.46,0.24,0.20,5.50,0.24,0.53,0.50,0.00,
231214,215250.6,2806.6163,N,8242.9873,W,22.9,0.47,0.24,0.20,5.55,0.24,0.54,0.50,-0.00,
231214,215250.8,2806.6161,N,8242.9873,W,22.9,0.49,0.25,0.20,5.60,0.25,0.56,0.50,-0.00,
231214,215251,2806.616,N,8242.9873,W,22.8,0.52,0.27,0.20,5.65,0.26,0.59,0.50,0.01,
231214,215251.2,2806.6158,N,8242.9873,W,22.7,0.51,0.26,0.20,5.70,0.26,0.59,0.50,0.02,
231214,215251.4,2806.6157,N,8242.9873,W,22.6,0.51,0.26,0.20,5.76,0.26,0.59,0.50,0.02,
231214,215251.6,2806.6156,N,8242.9873,W,22.6,0.52,0.27,0.20,5.81,0.27,0.60,0.50,0.03,
231214,215251.8,2806.6155,N,8242.9872,W,22.6,0.55,0.28,0.20,5.87,0.28,0.63,0.50,0.03,
231214,215252,2806.6154,N,8242.9872,W,22.6,0.56,0.29,0.20,5.92,0.29,0.64,0.50,0.02,
231214,215252.2,2806.6152,N,8242.9872,W,22.6,0.57,0.29,0.20,5.98,0.29,0.65,0.50,0.03,
231214,215252.4,2806.6151,N,8242.9872,W,22.5,0.59,0.30,0.20,6.04,0.30,0.67,0.50,0.04,
231214,215252.6,2806.6148,N,8242.9872,W,22.6,0.62,0.32,0.20,6.10,0.32,0.71,0.50,0.05,
231214,215252.8,2806.6146,N,8242.9871,W,22.7,0.64,0.33,0.20,6.17,0.33,0.73,0.50,0.05,
231214,215253,2806.6144,N,8242.9871,W,22.8,0.65,0.33,0.20,6.24,0.33,0.74,0.50,0.05,
231214,215253.2,2806.6142,N,8242.9871,W,22.9,0.67,0.34,0.20,6.30,0.34,0.77,0.75,0.05,
231214,215253.4,2806.6138,N,8242.9871,W,22.9,0.69,0.35,0.20,6.38,0.35,0.79,0.75,0.05,
231214,215253.6,2806.6137,N,8242.9872,W,22.9,0.69,0.35,0.20,6.45,0.35,0.79,0.75,0.04,
231214,215253.8,2806.6137,N,8242.9872,W,22.9,0.64,0.33,0.20,6.51,0.33,0.75,0.50,0.01,
231214,215254,2806.6137,N,8242.9871,W,22.9,0.61,0.31,0.20,6.58,0.32,0.71,0.50,-0.01,
231214,215254.2,2806.6137,N,8242.9871,W,22.9,0.59,0.30,0.20,6.64,0.31,0.69,0.50,-0.04,
231214,215254.4,2806.6136,N,8242.9871,W,22.9,0.58,0.30,0.20,6.70,0.30,0.67,0.50,-0.05,
231214,215254.6,2806.6136,N,8242.987,W,22.9,0.57,0.29,0.20,6.76,0.29,0.66,0.50,-0.06,
231214,215254.8,2806.6136,N,8242.987,W,22.9,0.54,0.28,0.20,6.81,0.28,0.63,0.50,-0.05,
231214,215255,2806.6136,N,8242.987,W,22.9,0.54,0.28,0.20,6.87,0.28,0.62,0.50,-0.04,
231214,215255.2,2806.6136,N,8242.987,W,22.9,0.52,0.27,0.20,6.92,0.27,0.60,0.50,-0.04,
231214,215255.4,2806.6135,N,8242.9869,W,22.9,0.48,0.25,0.20,6.97,0.25,0.56,0.50,-0.05,
231214,215255.6,2806.6135,N,8242.9869,W,22.9,0.42,0.22,0.20,7.02,0.22,0.50,0.25,-0.07,
231214,215255.8,2806.6135,N,8242.9869,W,22.9,0.37,0.19,0.20,7.06,0.20,0.44,0.25,-0.08,
231214,215256,2806.6135,N,8242.9869,W,22.9,0.36,0.19,0.20,7.09,0.19,0.42,0.25,-0.09,
231214,215256.2,2806.6135,N,8242.9869,W,22.9,0.37,0.19,0.20,7.13,0.19,0.42,0.25,-0.08,
231214,215256.4,2806.6134,N,8242.9869,W,22.9,0.36,0.19,0.20,7.17,0.19,0.42,0.25,-0.07,
231214,215256.6,2806.6134,N,8242.9868,W,22.9,0.36,0.19,0.20,7.21,0.19,0.41,0.25,-0.04,
231214,215256.8,2806.6134,N,8242.9868,W,22.9,0.38,0.20,0.20,7.25,0.19,0.43,0.25,-0.00,
231214,215257,2806.6134,N,8242.9868,W,22.9,0.44,0.23,0.20,7.29,0.22,0.49,0.25,0.03,
231214,215257.2,2806.6134,N,8242.9868,W,22.9,0.44,0.23,0.20,7.33,0.23,0.50,0.50,0.04,
231214,215257.4,2806.6134,N,8242.9868,W,22.9,0.47,0.24,0.20,7.38,0.24,0.53,0.50,0.05,
231214,215257.6,2806.6133,N,8242.9868,W,22.9,0.51,0.26,0.20,7.43,0.26,0.58,0.50,0.07,
231214,215257.8,2806.6133,N,8242.9867,W,22.9,0.5,0.26,0.20,7.49,0.26,0.58,0.50,0.06,
231214,215258,2806.6133,N,8242.9867,W,22.9,0.51,0.26,0.20,7.54,0.26,0.58,0.50,0.04,
231214,215258.2,2806.6133,N,8242.9867,W,22.9,0.49,0.25,0.20,7.59,0.25,0.57,0.50,0.03,
231214,215258.4,2806.6132,N,8242.9867,W,22.9,0.5,0.26,0.20,7.64,0.26,0.57,0.50,0.02,
231214,215258.6,2806.6132,N,8242.9866,W,22.9,0.5,0.26,0.20,7.69,0.26,0.58,0.50,-0.00,
231214,215258.8,2806.6132,N,8242.9866,W,22.9,0.5,0.26,0.20,7.74,0.26,0.58,0.50,-0.00,
231214,215259,2806.6132,N,8242.9866,W,22.9,0.51,0.26,0.20,7.79,0.26,0.58,0.50,-0.00,
231214,215259.2,2806.6132,N,8242.9866,W,22.9,0.52,0.27,0.20,7.85,0.27,0.60,0.50,0.01,
231214,215259.4,2806.6131,N,8242.9865,W,22.9,0.54,0.28,0.20,7.90,0.28,0.62,0.50,0.02,
231214,215259.6,2806.6131,N,8242.9865,W,22.9,0.53,0.27,0.20,7.96,0.27,0.61,0.50,0.02,
231214,215259.8,2806.6131,N,8242.9865,W,22.9,0.53,0.27,0.20,8.01,0.27,0.61,0.50,0.02,
231214,215300,2806.6131,N,8242.9865,W,22.9,0.53,0.27,0.20,8.07,0.27,0.61,0.50,0.01,
231214,215300.2,2806.6131,N,8242.9864,W,22.9,0.54,0.28,0.20,8.12,0.28,0.62,0.50,0.01,
231214,215300.4,2806.613,N,8242.9864,W,22.9,0.55,0.28,0.20,8.18,0.28,0.63,0.50,0.01,
231214,215300.6,2806.613,N,8242.9864,W,22.9,0.57,0.29,0.20,8.24,0.29,0.65,0.50,0.02,
231214,215300.8,2806.613,N,8242.9864,W,22.9,0.58,0.30,0.20,8.30,0.30,0.66,0.50,0.02,
231214,215301,2806.613,N,8242.9863,W,22.9,0.55,0.28,0.20,8.35,0.29,0.64,0.50,0.01,
231214,215301.2,2806.613,N,8242.9863,W,22.9,0.55,0.28,0.20,8.41,0.28,0.63,0.50,0.01,
231214,215301.4,2806.6129,N,8242.9863,W,22.9,0.55,0.28,0.20,8.47,0.28,0.63,0.50,0.00,
231214,215301.6,2806.6129,N,8242.9863,W,22.9,0.54,0.28,0.20,8.52,0.28,0.62,0.50,-0.01,
231214,215301.8,2806.6129,N,8242.9862,W,22.9,0.53,0.27,0.20,8.58,0.27,0.61,0.50,-0.02,
231214,215302,2806.6129,N,8242.9862,W,22.9,0.52,0.27,0.20,8.63,0.27,0.60,0.50,-0.02,
231214,215302.2,2806.6128,N,8242.9862,W,22.9,0.49,0.25,0.20,8.68,0.26,0.57,0.50,-0.03,
231214,215302.4,2806.6128,N,8242.9862,W,22.9,0.47,0.24,0.20,8.73,0.24,0.55,0.50,-0.04,
231214,215302.6,2806.6128,N,8242.9861,W,22.9,0.46,0.24,0.20,8.78,0.24,0.53,0.50,-0.04,
231214,215302.8,2806.6128,N,8242.9861,W,22.9,0.44,0.23,0.20,8.82,0.23,0.51,0.50,-0.05,
231214,215303,2806.6128,N,8242.9861,W,22.9,0.42,0.22,0.20,8.87,0.22,0.49,0.25,-0.05,
231214,215303.2,2806.6127,N,8242.9861,W,22.9,0.4,0.21,0.20,8.91,0.21,0.47,0.25,-0.05,
231214,215303.4,2806.6127,N,8242.9861,W,22.9,0.28,0.14,0.20,8.94,0.16,0.35,0.25,-0.09,
231214,215303.6,2806.6127,N,8242.9861,W,22.9,0.13,0.07,0.20,8.96,0.08,0.19,0.00,-0.15,
231214,215303.8,2806.6127,N,8242.9861,W,22.9,0.05,0.03,0.20,8.97,0.04,0.08,0.00,-0.19,
231214,215304,2806.6127,N,8242.9861,W,22.9,0.08,0.04,0.20,8.97,0.04,0.09,0.00,-0.18,
231214,215304.2,2806.6127,N,8242.9861,W,22.9,0.06,0.03,0.20,8.98,0.03,0.07,0.00,-0.18,
231214,215304.4,2806.6127,N,8242.9861,W,22.9,0.05,0.03,0.20,8.99,0.03,0.06,0.00,-0.13,
231214,215304.6,2806.6127,N,8242.9861,W,22.9,0.04,0.02,0.20,8.99,0.02,0.05,0.00,-0.06,
231214,215304.8,2806.6127,N,8242.9861,W,22.9,0.04,0.02,0.20,8.99,0.02,0.05,0.00,-0.02,
231214,215305,2806.6127,N,8242.9861,W,22.9,0.05,0.03,0.20,9.00,0.02,0.06,0.00,-0.02,
231214,215305.2,2806.6127,N,8242.9861,W,22.9,0.05,0.03,0.20,9.00,0.03,0.06,0.00,-0.01,
231214,215305.4,2806.6127,N,8242.9861,W,22.9,0.04,0.02,0.20,9.01,0.02,0.05,0.00,-0.01,
231214,215305.6,2806.6127,N,8242.9861,W,22.9,0.02,0.01,0.20,9.01,0.01,0.03,0.00,-0.01,
231214,215305.8,2806.6127,N,8242.9861,W,22.9,0.01,0.01,0.20,9.01,0.01,0.01,0.00,-0.01,
231214,215306,2806.6127,N,8242.9861,W,22.9,0.02,0.01,0.20,9.01,0.01,0.02,0.00,-0.02,
231214,215306.2,2806.6127,N,8242.9861,W,22.9,0.08,0.04,0.20,9.02,0.03,0.08,0.00,0.01,
231214,215306.4,2806.6127,N,8242.9861,W,22.9,0.17,0.09,0.20,9.04,0.08,0.17,0.00,0.06,
231214,215306.6,2806.6127,N,8242.9861,W,22.9,0.25,0.13,0.20,9.06,0.12,0.26,0.25,0.11,
231214,215306.8,2806.6127,N,8242.986,W,22.9,0.32,0.16,0.20,9.09,0.16,0.35,0.25,0.15,
231214,215307,2806.6127,N,8242.986,W,22.9,0.29,0.15,0.20,9.12,0.15,0.34,0.25,0.14,
231214,215307.2,2806.6127,N,8242.986,W,22.9,0.27,0.14,0.20,9.15,0.14,0.32,0.25,0.11,
231214,215307.4,2806.6127,N,8242.986,W,22.9,0.25,0.13,0.20,9.18,0.13,0.29,0.25,0.05,
231214,215307.6,2806.6127,N,8242.986,W,22.9,0.25,0.13,0.20,9.20,0.13,0.29,0.25,0.01,
231214,215307.8,2806.6128,N,8242.986,W,22.9,0.2,0.10,0.20,9.22,0.11,0.24,0.00,-0.05,
231214,215308,2806.6128,N,8242.986,W,22.9,0.17,0.09,0.20,9.24,0.09,0.20,0.00,-0.06,
231214,215308.2,2806.6128,N,8242.9859,W,22.9,0.16,0.08,0.20,9.26,0.08,0.19,0.00,-0.06,
231214,215308.4,2806.6128,N,8242.9859,W,22.9,0.16,0.08,0.20,9.27,0.08,0.18,0.00,-0.05,
231214,215308.6,2806.6128,N,8242.9859,W,22.9,0.17,0.09,0.20,9.29,0.09,0.19,0.00,-0.04,
231214,215308.8,2806.6128,N,8242.9859,W,22.9,0.17,0.09,0.20,9.31,0.09,0.20,0.00,-0.02,
231214,215309,2806.6128,N,8242.9859,W,22.9,0.17,0.09,0.20,9.33,0.09,0.20,0.00,-0.00,
231214,215309.2,2806.6128,N,8242.9859,W,22.9,0.17,0.09,0.20,9.34,0.09,0.20,0.00,0.00,
231214,215309.4,2806.6128,N,8242.9859,W,22.9,0.19,0.10,0.20,9.36,0.10,0.21,0.00,0.01,
231214,215309.6,2806.6128,N,8242.9859,W,22.9,0.19,0.10,0.20,9.38,0.10,0.22,0.00,0.01,
231214,215309.8,2806.6128,N,8242.9859,W,22.9,0.2,0.10,0.20,9.40,0.10,0.23,0.00,0.01,
231214,215310,2806.6128,N,8242.9859,W,22.9,0.21,0.11,0.20,9.42,0.11,0.24,0.00,0.02,
231214,215310.2,2806.6128,N,8242.9858,W,22.9,0.21,0.11,0.20,9.45,0.11,0.24,0.00,0.02,
231214,215310.4,2806.6128,N,8242.9858,W,22.9,0.2,0.10,0.20,9.47,0.10,0.23,0.00,0.01,
231214,215310.6,2806.6128,N,8242.9858,W,22.9,0.21,0.11,0.20,9.49,0.11,0.24,0.00,0.01,
231214,215310.8,2806.6128,N,8242.9858,W,22.9,0.23,0.12,0.20,9.51,0.12,0.26,0.25,0.01,
231214,215311,2806.6128,N,8242.9858,W,22.9,0.23,0.12,0.20,9.54,0.12,0.26,0.25,0.01,
231214,215311.2,2806.6128,N,8242.9858,W,22.9,0.23,0.12,0.20,9.56,0.12,0.26,0.25,0.01,
231214,215311.4,2806.6128,N,8242.9858,W,22.9,0.2,0.10,0.20,9.58,0.11,0.24,0.00,0.00,
231214,215311.6,2806.6128,N,8242.9858,W,22.9,0.16,0.08,0.20,9.60,0.09,0.19,0.00,-0.02,
